"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Creg1",0.0154774571933952,0.0687582906352384,0.909,0.901,1,"Control","Creg1"
"Tmem259",0.0154904736747369,0.0502064713761668,0.143,0.113,1,"Control","Tmem259"
"Pdha1",0.0155288156930114,0.0543233007812177,0.426,0.382,1,"Control","Pdha1"
"Ptprc",0.0157210873799914,0.0511364650425511,0.421,0.368,1,"Control","Ptprc"
"M6pr",0.0157357525777356,0.0557682986092702,0.604,0.56,1,"Control","M6pr"
"Rdx",0.0158541545174742,0.0641555442627197,0.69,0.663,1,"Control","Rdx"
"Dusp11",0.0158567353040012,0.0537920007208736,0.392,0.345,1,"Control","Dusp11"
"Tra2a",0.0158595581925744,0.0637768265475154,0.623,0.589,1,"Control","Tra2a"
"Zmym3",0.0158855005016523,0.0527245492994594,0.118,0.092,1,"Control","Zmym3"
"Mcm2",0.0159853535571046,0.0684535886674253,0.482,0.44,1,"Control","Mcm2"
"Ahnak",0.0160598755638364,0.0757661109465881,0.125,0.099,1,"Control","Ahnak"
"Gabarapl2",0.0160937766369074,0.0558222912745301,0.683,0.642,1,"Control","Gabarapl2"
"Sppl3",0.0162666803525599,0.0636749775839168,0.176,0.142,1,"Control","Sppl3"
"Senp3",0.0162949111084422,0.0570278372835538,0.204,0.171,1,"Control","Senp3"
"Synrg",0.0163081201858838,0.0580764612015305,0.314,0.273,1,"Control","Synrg"
"Mvp",0.0163295934566777,0.0666128127276696,0.157,0.129,1,"Control","Mvp"
"Osbpl1a",0.0163440540339027,0.0539834365980106,0.417,0.364,1,"Control","Osbpl1a"
"Mcfd2",0.0165120402383673,0.0574427305843244,0.311,0.263,1,"Control","Mcfd2"
"Inpp5k",0.0166854976913096,0.0564116706001124,0.142,0.111,1,"Control","Inpp5k"
"Rela",0.0166875198351386,0.0545202492521744,0.281,0.24,1,"Control","Rela"
"Pou2f2",0.0167411096927499,0.0657484798695193,0.177,0.142,1,"Control","Pou2f2"
"Nol11",0.0168099420957164,0.063233363668359,0.201,0.171,1,"Control","Nol11"
"Ube2q1",0.017095466974483,0.0573332343642275,0.333,0.293,1,"Control","Ube2q1"
"Mat2b",0.0172087962059349,0.0510673127087282,0.54,0.491,1,"Control","Mat2b"
"Exosc10",0.0172290491086115,0.0600016463345595,0.229,0.192,1,"Control","Exosc10"
"Hmgcl",0.0172558306634646,0.0516458357434701,0.212,0.174,1,"Control","Hmgcl"
"Rbm25",0.0172703627198338,0.0510265071769891,0.797,0.755,1,"Control","Rbm25"
"Irf3",0.0173908604004515,0.0540298532649089,0.301,0.262,1,"Control","Irf3"
"Chd8",0.0173982773635116,0.0558663219794294,0.332,0.288,1,"Control","Chd8"
"Ccdc47",0.0174142397833831,0.0521196249050528,0.314,0.265,1,"Control","Ccdc47"
"Ubap2l",0.0175338247916421,0.0719656704616802,0.656,0.628,1,"Control","Ubap2l"
"Plekho1",0.0175590368765815,0.0631747570102758,0.236,0.202,1,"Control","Plekho1"
"Agtrap",0.017584700229521,0.0766368410471759,0.254,0.225,1,"Control","Agtrap"
"Itsn1",0.0175874308081839,0.0594551563155425,0.153,0.121,1,"Control","Itsn1"
"Fam134c",0.0176352643283723,0.0527927983086597,0.16,0.132,1,"Control","Fam134c"
"Zc3h13",0.017644971020981,0.0765567190145025,0.313,0.276,1,"Control","Zc3h13"
"Ncor1",0.017695933540615,0.0664951428259828,0.713,0.685,1,"Control","Ncor1"
"Reep4",0.0177276223414721,0.0534392876715945,0.233,0.193,1,"Control","Reep4"
"Myadm",0.0177299016885763,0.0505510403525096,0.229,0.187,1,"Control","Myadm"
"Grasp",0.0181784400474994,0.0600193743231669,0.102,0.082,1,"Control","Grasp"
"Rasa1",0.0182324194301681,0.0640550530913146,0.281,0.247,1,"Control","Rasa1"
"Tango2",0.0182355834613677,0.067720815445524,0.187,0.158,1,"Control","Tango2"
"Glmp",0.0182817203341877,0.0507024195511715,0.322,0.277,1,"Control","Glmp"
"Ahcyl1",0.0184101138782027,0.0564063261673413,0.284,0.244,1,"Control","Ahcyl1"
"Safb2",0.0186020832696279,0.0511710380884229,0.412,0.358,1,"Control","Safb2"
"Nsa2",0.0188331927767543,0.0553502866111484,0.841,0.819,1,"Control","Nsa2"
"Prkaca",0.0189235357926381,0.0585708479644944,0.383,0.341,1,"Control","Prkaca"
"Mospd3",0.0189438318109756,0.0610394450178835,0.472,0.436,1,"Control","Mospd3"
"Mapk6",0.0190099705719021,0.0538983441771014,0.183,0.148,1,"Control","Mapk6"
"Cep250",0.0190782706331742,0.064047300154541,0.173,0.146,1,"Control","Cep250"
"Tbc1d10c",0.0192837873825393,0.055439780970147,0.337,0.292,1,"Control","Tbc1d10c"
"Ifrd1",0.0197028409551373,0.0636888787899548,0.298,0.259,1,"Control","Ifrd1"
"Itga2b",0.0198406949961955,0.0872431409916997,0.238,0.211,1,"Control","Itga2b"
"March7",0.020198242821457,0.0668708786230701,0.287,0.25,1,"Control","March7"
"Sh3bp1",0.020225978794697,0.0618655901609023,0.411,0.367,1,"Control","Sh3bp1"
"Mid1ip1",0.0202962515669918,0.0530162513408055,0.281,0.238,1,"Control","Mid1ip1"
"Tbl1xr1",0.0203418741267946,0.0597488752302775,0.387,0.342,1,"Control","Tbl1xr1"
"Hhex",0.0203702484412156,0.065589985091026,0.559,0.514,1,"Control","Hhex"
