"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Safb",3.42528021419402e-05,0.107930265351798,0.352,0.287,0.37356106016,"Control","Safb"
"Zcchc6",3.46570242003755e-05,0.126704282291828,0.321,0.259,0.377969505929295,"Control","Zcchc6"
"Dbr1",3.63790009450589e-05,0.088053485540014,0.16,0.109,0.396749384306812,"Control","Dbr1"
"Saraf",3.69217573599792e-05,0.12164952363518,0.794,0.759,0.402668685767933,"Control","Saraf"
"Larp1b",3.82264296360713e-05,0.0896734152260144,0.162,0.111,0.416897441610993,"Control","Larp1b"
"Ankrd11",3.94489885875387e-05,0.114280198264291,0.454,0.383,0.430230669535698,"Control","Ankrd11"
"Sdcbp",4.07858684644429e-05,0.0871613003345018,0.809,0.747,0.444810681473214,"Control","Sdcbp"
"Ubtf",4.09603553379275e-05,0.111150898993305,0.608,0.545,0.446713635315437,"Control","Ubtf"
"Tab2",4.1453843660369e-05,0.1076291383894,0.356,0.292,0.452095618959985,"Control","Tab2"
"Ube3a",4.1623052773731e-05,0.109924134305427,0.583,0.513,0.45394101355031,"Control","Ube3a"
"Gata2",4.18521240547386e-05,0.128283473054331,0.627,0.57,0.456439264940979,"Control","Gata2"
"Dync1i2",4.24874895676967e-05,0.1020810888237,0.564,0.484,0.4633685612253,"Control","Dync1i2"
"Ube2m",4.29718715835775e-05,0.107472480015474,0.406,0.335,0.468651231490496,"Control","Ube2m"
"Sash3",4.3336688750029e-05,0.117484425201245,0.388,0.322,0.472629927507816,"Control","Sash3"
"Ubn1",4.50768083945997e-05,0.114373363959541,0.515,0.445,0.491607672351504,"Control","Ubn1"
"Trim56",4.52496052152256e-05,0.10205940309833,0.372,0.304,0.49349219447725,"Control","Trim56"
"Cd1d1",4.57345803507936e-05,0.106377326710225,0.34,0.271,0.498781333305755,"Control","Cd1d1"
"Gapdh",4.73400199062132e-05,0.0725948121343616,0.96,0.945,0.516290257097161,"Control","Gapdh"
"Naa35",4.86232317208278e-05,0.104988250905917,0.289,0.223,0.530284965147348,"Control","Naa35"
"Pex3",5.09645799387656e-05,0.0942255741641865,0.185,0.13,0.555819708812178,"Control","Pex3"
"Map4",5.31288509732766e-05,0.0903037842632515,0.131,0.088,0.579423248714554,"Control","Map4"
"Rfxap",5.58807240565203e-05,0.0919121254470799,0.218,0.161,0.60943517656041,"Control","Rfxap"
"Qars",6.05182288866655e-05,0.108502707232583,0.379,0.315,0.660011804237974,"Control","Qars"
"Btg2",6.30538230376308e-05,0.0924432946965739,0.138,0.095,0.687664994048401,"Control","Btg2"
"Coro1b",6.41281428549445e-05,0.0947029998610004,0.5,0.429,0.699381525976025,"Control","Coro1b"
"Cct4",6.41866441629074e-05,0.0869940015078503,0.835,0.786,0.700019541240668,"Control","Cct4"
"Ulk1",6.49019436703508e-05,0.0830896967904172,0.131,0.084,0.707820597668846,"Control","Ulk1"
"F2r",6.52535971817043e-05,0.149261684017972,0.485,0.422,0.711655730863668,"Control","F2r"
"Eid1",6.67436202514936e-05,0.100639962204412,0.416,0.345,0.727905922462789,"Control","Eid1"
"Elf1",6.78141058677717e-05,0.116369749441844,0.582,0.522,0.739580638593918,"Control","Elf1"
"Atp6v1b2",6.97784106931398e-05,0.0806087714909223,0.314,0.238,0.761003347019383,"Control","Atp6v1b2"
"Ywhab",7.07610823857526e-05,0.073351191866468,0.818,0.757,0.771720364499018,"Control","Ywhab"
"Rnpepl1",7.11162385907869e-05,0.100996955214631,0.292,0.233,0.775593698071122,"Control","Rnpepl1"
"Wdr46",7.14915165905507e-05,0.0826846372081431,0.223,0.163,0.779686479936546,"Control","Wdr46"
"Renbp",7.23434001470111e-05,0.0930616119120923,0.137,0.092,0.788977122003303,"Control","Renbp"
"C1qtnf6",7.98369944891871e-05,0.0726199912254033,0.114,0.07,0.870702261899074,"Control","C1qtnf6"
"Zwint",8.07650290332544e-05,0.0984022003344405,0.514,0.444,0.880823406636672,"Control","Zwint"
"Fam160b1",8.11286240875916e-05,0.0876315404859991,0.14,0.095,0.884788774299274,"Control","Fam160b1"
"Ccdc8",8.51493897038383e-05,0.0900576820373293,0.173,0.122,0.92863924411006,"Control","Ccdc8"
"Golga2",8.98047599077882e-05,0.0773084238336678,0.124,0.079,0.979410711554338,"Control","Golga2"
"Atp2a3",9.16044978781325e-05,0.102298846239891,0.293,0.234,0.999038653858913,"Control","Atp2a3"
"Kdm1a",9.31492033674973e-05,0.0995134794474966,0.313,0.248,1,"Control","Kdm1a"
"Ddx6",9.33237870535885e-05,0.102066054313151,0.328,0.263,1,"Control","Ddx6"
"Stard3",9.43495662315538e-05,0.0749308693198763,0.19,0.129,1,"Control","Stard3"
"Jun",9.45914294916365e-05,0.123642168780947,0.151,0.108,1,"Control","Jun"
"Gps1",9.54290624139613e-05,0.0842302120797581,0.348,0.277,1,"Control","Gps1"
"Prpf38b",9.59752222253273e-05,0.105889836200664,0.502,0.435,1,"Control","Prpf38b"
"Arf3",9.7871445240484e-05,0.0736776440720535,0.805,0.754,1,"Control","Arf3"
"Frmd8",9.8115346153971e-05,0.0839567087891325,0.277,0.207,1,"Control","Frmd8"
"Git1",9.95141106830137e-05,0.0796127220253857,0.158,0.106,1,"Control","Git1"
"Nfkbia",0.000101359466121171,0.0786322596238824,0.396,0.318,1,"Control","Nfkbia"
"Vezf1",0.000101978730263693,0.0992056817418761,0.514,0.445,1,"Control","Vezf1"
"Zfp664",0.000102082014601416,0.0971854999444792,0.326,0.256,1,"Control","Zfp664"
"Mlec",0.000105386442793785,0.101710283238937,0.702,0.648,1,"Control","Mlec"
