Almut,Shiozawa,Tusi,YangAnemicHSCs,Singh.Tg6,WilsonMolO,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,Nina_dHSCs,Nina_aHSCs,Nina_mpp1
,,,,Cep152,,,,,,,,,,,,,,,,
,,,,Atad5,,,,,,,,,,,,,,,,
,,,,Cdc34,,,,,,,,,,,,,,,,
,,,,Ccna2,,,,,,,,,,,,,,,,
,,,,Abcb7,,,,,,,,,,,,,,,,
,,,,Sars,,,,,,,,,,,,,,,,
,,,,Bex6,,,,,,,,,,,,,,,,
,,,,Gm6493,,,,,,,,,,,,,,,,
,,,,BC055324,,,,,,,,,,,,,,,,
,,,,Necap2,,,,,,,,,,,,,,,,
,,,,Lrrc29,,,,,,,,,,,,,,,,
,,,,Cox6b2,,,,,,,,,,,,,,,,
,,,,Gmppb,,,,,,,,,,,,,,,,
,,,,Hars,,,,,,,,,,,,,,,,
,,,,Dus4l,,,,,,,,,,,,,,,,
,,,,Ifi30,,,,,,,,,,,,,,,,
,,,,BC021614,,,,,,,,,,,,,,,,
,,,,Gm11805,,,,,,,,,,,,,,,,
,,,,Hmgb3,,,,,,,,,,,,,,,,
,,,,2700029M09Rik,,,,,,,,,,,,,,,,
,,,,Fxn,,,,,,,,,,,,,,,,
,,,,Asnsd1,,,,,,,,,,,,,,,,
,,,,Tpm1,,,,,,,,,,,,,,,,
,,,,Dbf4,,,,,,,,,,,,,,,,
,,,,Ehbp1l1,,,,,,,,,,,,,,,,
,,,,Sass6,,,,,,,,,,,,,,,,
,,,,Mpst,,,,,,,,,,,,,,,,
,,,,Cpne5,,,,,,,,,,,,,,,,
,,,,Ccrl2,,,,,,,,,,,,,,,,
,,,,Gapvd1,,,,,,,,,,,,,,,,
,,,,Gclm,,,,,,,,,,,,,,,,
,,,,Cenph,,,,,,,,,,,,,,,,
,,,,Gm15706,,,,,,,,,,,,,,,,
,,,,Pilra,,,,,,,,,,,,,,,,
,,,,Cd14,,,,,,,,,,,,,,,,
,,,,Mafk,,,,,,,,,,,,,,,,
,,,,Ucp2,,,,,,,,,,,,,,,,
,,,,Ddx39,,,,,,,,,,,,,,,,
,,,,Pdgfrb,,,,,,,,,,,,,,,,
,,,,Gm2810,,,,,,,,,,,,,,,,
,,,,Slc16a7,,,,,,,,,,,,,,,,
,,,,Cks1b,,,,,,,,,,,,,,,,
,,,,Gm20689,,,,,,,,,,,,,,,,
,,,,Capn1,,,,,,,,,,,,,,,,
,,,,I830077J02Rik,,,,,,,,,,,,,,,,
,,,,Ikzf5,,,,,,,,,,,,,,,,
,,,,Gm9727,,,,,,,,,,,,,,,,
,,,,Gm17052,,,,,,,,,,,,,,,,
,,,,Cox5a,,,,,,,,,,,,,,,,
,,,,Hspa9-ps1,,,,,,,,,,,,,,,,
,,,,Axl,,,,,,,,,,,,,,,,
,,,,Dut,,,,,,,,,,,,,,,,
,,,,Dhx29,,,,,,,,,,,,,,,,
,,,,Apitd1,,,,,,,,,,,,,,,,
,,,,Apoc2,,,,,,,,,,,,,,,,
,,,,5730590G19Rik,,,,,,,,,,,,,,,,
,,,,Acp5,,,,,,,,,,,,,,,,
,,,,Podxl,,,,,,,,,,,,,,,,
,,,,Hpgd,,,,,,,,,,,,,,,,
,,,,Mt1,,,,,,,,,,,,,,,,
,,,,Tmem183a,,,,,,,,,,,,,,,,
,,,,Nup62,,,,,,,,,,,,,,,,
,,,,Slc35b1,,,,,,,,,,,,,,,,
,,,,Fbxl22,,,,,,,,,,,,,,,,
,,,,Pole2,,,,,,,,,,,,,,,,
,,,,Mcm7,,,,,,,,,,,,,,,,
,,,,Fahd1,,,,,,,,,,,,,,,,
,,,,Il1b,,,,,,,,,,,,,,,,
,,,,6720463M24Rik,,,,,,,,,,,,,,,,
,,,,Gm13443,,,,,,,,,,,,,,,,
,,,,Mlf1,,,,,,,,,,,,,,,,
,,,,Gm15774,,,,,,,,,,,,,,,,
,,,,Brpf3,,,,,,,,,,,,,,,,
,,,,Gm10254,,,,,,,,,,,,,,,,
,,,,Eif2s1,,,,,,,,,,,,,,,,
,,,,Haus8,,,,,,,,,,,,,,,,
,,,,Rp2h,,,,,,,,,,,,,,,,
,,,,Spns3,,,,,,,,,,,,,,,,
,,,,Gngt2,,,,,,,,,,,,,,,,
,,,,Sesn2,,,,,,,,,,,,,,,,
,,,,Blvra,,,,,,,,,,,,,,,,
,,,,Dnajc9,,,,,,,,,,,,,,,,
,,,,Pfkfb1,,,,,,,,,,,,,,,,
,,,,Rgs12,,,,,,,,,,,,,,,,
,,,,Ube2t,,,,,,,,,,,,,,,,
,,,,Nup160,,,,,,,,,,,,,,,,
,,,,Mcm3,,,,,,,,,,,,,,,,
,,,,Gm14388,,,,,,,,,,,,,,,,
,,,,Pycr1,,,,,,,,,,,,,,,,
,,,,Gm13578,,,,,,,,,,,,,,,,
,,,,Coq10b,,,,,,,,,,,,,,,,
,,,,Iqgap3,,,,,,,,,,,,,,,,
,,,,Casp8ap2,,,,,,,,,,,,,,,,
,,,,Gm15428,,,,,,,,,,,,,,,,
,,,,Lrrc25,,,,,,,,,,,,,,,,
,,,,Slc30a1,,,,,,,,,,,,,,,,
,,,,Mad2l1bp,,,,,,,,,,,,,,,,
,,,,Tarm1,,,,,,,,,,,,,,,,
,,,,Senp5,,,,,,,,,,,,,,,,
,,,,Hspa4l,,,,,,,,,,,,,,,,
,,,,Nfatc2ip,,,,,,,,,,,,,,,,
,,,,Tgfbi,,,,,,,,,,,,,,,,
,,,,Hist1h2be,,,,,,,,,,,,,,,,
,,,,Gm9900,,,,,,,,,,,,,,,,
,,,,Cd82,,,,,,,,,,,,,,,,
,,,,Yars,,,,,,,,,,,,,,,,
,,,,Fam82a2,,,,,,,,,,,,,,,,
,,,,Tuba4a,,,,,,,,,,,,,,,,
,,,,Slc4a8,,,,,,,,,,,,,,,,
,,,,D5Ertd579e,,,,,,,,,,,,,,,,
,,,,5730508B09Rik,,,,,,,,,,,,,,,,
,,,,Etohi1,,,,,,,,,,,,,,,,
,,,,2810408I11Rik,,,,,,,,,,,,,,,,
,,,,Dqx1,,,,,,,,,,,,,,,,
,,,,Cish,,,,,,,,,,,,,,,,
,,,,Gm12185,,,,,,,,,,,,,,,,
,,,,Parvb,,,,,,,,,,,,,,,,
,,,,Mboat2,,,,,,,,,,,,,,,,
,,,,Sdc3,,,,,,,,,,,,,,,,
,,,,Ppp2r4,,,,,,,,,,,,,,,,
,,,,Gm12734,,,,,,,,,,,,,,,,
,,,,Pmm1,,,,,,,,,,,,,,,,
,,,,1700037H04Rik,,,,,,,,,,,,,,,,
,,,,Cd69,,,,,,,,,,,,,,,,
,,,,Brca2,,,,,,,,,,,,,,,,
,,,,Lhfpl2,,,,,,,,,,,,,,,,
,,,,Gm6166,,,,,,,,,,,,,,,,
,,,,Sparc,,,,,,,,,,,,,,,,
,,,,Nostrin,,,,,,,,,,,,,,,,
,,,,Cercam,,,,,,,,,,,,,,,,
,,,,Fen1,,,,,,,,,,,,,,,,
,,,,Odf2,,,,,,,,,,,,,,,,
,,,,AI504432,,,,,,,,,,,,,,,,
,,,,Nde1,,,,,,,,,,,,,,,,
,,,,Mthfd1l,,,,,,,,,,,,,,,,
,,,,Gm5446,,,,,,,,,,,,,,,,
,,,,Dnajb13,,,,,,,,,,,,,,,,
,,,,Dmkn,,,,,,,,,,,,,,,,
,,,,Zfp947,,,,,,,,,,,,,,,,
,,,,Gm12328,,,,,,,,,,,,,,,,
,,,,Gm5391,,,,,,,,,,,,,,,,
,,,,Fn3k,,,,,,,,,,,,,,,,
,,,,Eaf1,,,,,,,,,,,,,,,,
,,,,Ciita,,,,,,,,,,,,,,,,
,,,,Stat1,,,,,,,,,,,,,,,,
,,,,Zdhhc13,,,,,,,,,,,,,,,,
,,,,Snord7,,,,,,,,,,,,,,,,
,,,,C330018D20Rik,,,,,,,,,,,,,,,,
,,,,Dclre1a,,,,,,,,,,,,,,,,
,,,,Haus6,,,,,,,,,,,,,,,,
,,,,Dtx4,,,,,,,,,,,,,,,,
,,,,2610318N02Rik,,,,,,,,,,,,,,,,
,,,,Gm13552,,,,,,,,,,,,,,,,
,,,,Rangap1,,,,,,,,,,,,,,,,
,,,,Stub1,,,,,,,,,,,,,,,,
,,,,Gm13607,,,,,,,,,,,,,,,,
,,,,Nqo1,,,,,,,,,,,,,,,,
,,,,Tubd1,,,,,,,,,,,,,,,,
,,,,1190002H23Rik,,,,,,,,,,,,,,,,
,,,,Kif20b,,,,,,,,,,,,,,,,
,,,,Pxmp2,,,,,,,,,,,,,,,,
,,,,Cd300ld,,,,,,,,,,,,,,,,
,,,,Sec23a,,,,,,,,,,,,,,,,
,,,,Ctsb,,,,,,,,,,,,,,,,
,,,,Wipi1,,,,,,,,,,,,,,,,
,,,,Usp14,,,,,,,,,,,,,,,,
,,,,Nupl2,,,,,,,,,,,,,,,,
,,,,Slc29a1,,,,,,,,,,,,,,,,
,,,,Faim,,,,,,,,,,,,,,,,
,,,,Fam122b,,,,,,,,,,,,,,,,
,,,,Gm5809,,,,,,,,,,,,,,,,
,,,,Cenpm,,,,,,,,,,,,,,,,
,,,,Zc3hav1,,,,,,,,,,,,,,,,
,,,,Idh2,,,,,,,,,,,,,,,,
,,,,Cltc,,,,,,,,,,,,,,,,
,,,,Ept1,,,,,,,,,,,,,,,,
,,,,Gm11427,,,,,,,,,,,,,,,,
,,,,Rnf19a,,,,,,,,,,,,,,,,
,,,,Tespa1,,,,,,,,,,,,,,,,
,,,,Haus4,,,,,,,,,,,,,,,,
,,,,Smc4,,,,,,,,,,,,,,,,
,,,,1500003O03Rik,,,,,,,,,,,,,,,,
,,,,Dsn1,,,,,,,,,,,,,,,,
,,,,Trp53inp2,,,,,,,,,,,,,,,,
,,,,Spcs3,,,,,,,,,,,,,,,,
,,,,Nol10,,,,,,,,,,,,,,,,
,,,,Dnajb3,,,,,,,,,,,,,,,,
,,,,Cdv3,,,,,,,,,,,,,,,,
,,,,Fam64a,,,,,,,,,,,,,,,,
,,,,Hspa5,,,,,,,,,,,,,,,,
,,,,Golt1b,,,,,,,,,,,,,,,,
,,,,Cyth3,,,,,,,,,,,,,,,,
,,,,Slc41a3,,,,,,,,,,,,,,,,
,,,,Il13ra1,,,,,,,,,,,,,,,,
,,,,Tmem107,,,,,,,,,,,,,,,,
,,,,Ccdc18,,,,,,,,,,,,,,,,
,,,,Gm12247,,,,,,,,,,,,,,,,
,,,,Cacybp,,,,,,,,,,,,,,,,
,,,,Trem1,,,,,,,,,,,,,,,,
,,,,Msr1,,,,,,,,,,,,,,,,
,,,,Tfdp1,,,,,,,,,,,,,,,,
,,,,Lims1,,,,,,,,,,,,,,,,
,,,,Slc16a1,,,,,,,,,,,,,,,,
,,,,Chi3l3,,,,,,,,,,,,,,,,
,,,,Alg6,,,,,,,,,,,,,,,,
,,,,Gpr35,,,,,,,,,,,,,,,,
,,,,Adam33,,,,,,,,,,,,,,,,
,,,,Tubg1,,,,,,,,,,,,,,,,
,,,,Gm5529,,,,,,,,,,,,,,,,
,,,,AI607873,,,,,,,,,,,,,,,,
,,,,Cenpw,,,,,,,,,,,,,,,,
,,,,Usp32,,,,,,,,,,,,,,,,
,,,,Clcn2,,,,,,,,,,,,,,,,
,,,,Nudt8,,,,,,,,,,,,,,,,
,,,,Ccdc109b,,,,,,,,,,,,,,,,
,,,,Arhgef12,,,,,,,,,,,,,,,,
,,,,Dek,,,,,,,,,,,,,,,,
,,,,Fam76a,,,,,,,,,,,,,,,,
,,,,Lin9,,,,,,,,,,,,,,,,
,,,,Vrk2,,,,,,,,,,,,,,,,
,,,,Synj1,,,,,,,,,,,,,,,,
,,,,Tlr13,,,,,,,,,,,,,,,,
,,,,Gm9892,,,,,,,,,,,,,,,,
,,,,Gm15478,,,,,,,,,,,,,,,,
,,,,Ccdc21,,,,,,,,,,,,,,,,
,,,,Skp2,,,,,,,,,,,,,,,,
,,,,Hist1h4d,,,,,,,,,,,,,,,,
,,,,1700010I14Rik,,,,,,,,,,,,,,,,
,,,,Oaz1-ps,,,,,,,,,,,,,,,,
,,,,Serinc5,,,,,,,,,,,,,,,,
,,,,Slc37a2,,,,,,,,,,,,,,,,
,,,,4930427A07Rik,,,,,,,,,,,,,,,,
,,,,Agtr1a,,,,,,,,,,,,,,,,
,,,,Pole,,,,,,,,,,,,,,,,
,,,,Hist1h4i,,,,,,,,,,,,,,,,
,,,,Cep192,,,,,,,,,,,,,,,,
,,,,Dscc1,,,,,,,,,,,,,,,,
,,,,Gins3,,,,,,,,,,,,,,,,
,,,,Pmf1,,,,,,,,,,,,,,,,
,,,,Pik3cb,,,,,,,,,,,,,,,,
,,,,Cdca4,,,,,,,,,,,,,,,,
,,,,Ckb,,,,,,,,,,,,,,,,
,,,,Rheb,,,,,,,,,,,,,,,,
,,,,Rfx2,,,,,,,,,,,,,,,,
,,,,Timeless,,,,,,,,,,,,,,,,
,,,,Slc7a8,,,,,,,,,,,,,,,,
,,,,Hmgb2,,,,,,,,,,,,,,,,
,,,,Haus3,,,,,,,,,,,,,,,,
,,,,Diap3,,,,,,,,,,,,,,,,
,,,,Cyc1,,,,,,,,,,,,,,,,
,,,,Rab8b,,,,,,,,,,,,,,,,
,,,,Rtkn2,,,,,,,,,,,,,,,,
,,,,Gan,,,,,,,,,,,,,,,,
,,,,Tmprss3,,,,,,,,,,,,,,,,
,,,,Tsc22d2,,,,,,,,,,,,,,,,
,,,,Tbcd,,,,,,,,,,,,,,,,
,,,,Gm4353,,,,,,,,,,,,,,,,
,,,,Cinp,,,,,,,,,,,,,,,,
,,,,Psmd5,,,,,,,,,,,,,,,,
,,,,3110002H16Rik,,,,,,,,,,,,,,,,
,,,,Psat1,,,,,,,,,,,,,,,,
,,,,Nup107,,,,,,,,,,,,,,,,
,,,,Gm6977,,,,,,,,,,,,,,,,
,,,,D6Wsu163e,,,,,,,,,,,,,,,,
,,,,Ppp1r15b,,,,,,,,,,,,,,,,
,,,,Gm12096,,,,,,,,,,,,,,,,
,,,,1700054N08Rik,,,,,,,,,,,,,,,,
,,,,Atp6v0a2,,,,,,,,,,,,,,,,
,,,,Gm12263,,,,,,,,,,,,,,,,
,,,,Gm5778,,,,,,,,,,,,,,,,
,,,,Ppp1cb,,,,,,,,,,,,,,,,
,,,,Ccdc34,,,,,,,,,,,,,,,,
,,,,Psmf1,,,,,,,,,,,,,,,,
,,,,Atpif1,,,,,,,,,,,,,,,,
,,,,Prps1l3,,,,,,,,,,,,,,,,
,,,,Abhd5,,,,,,,,,,,,,,,,
,,,,P2ry6,,,,,,,,,,,,,,,,
,,,,Tax1bp1,,,,,,,,,,,,,,,,
,,,,Inpp5b,,,,,,,,,,,,,,,,
,,,,Gm5867,,,,,,,,,,,,,,,,
,,,,Slc1a5,,,,,,,,,,,,,,,,
,,,,Slfn3,,,,,,,,,,,,,,,,
,,,,Cela1,,,,,,,,,,,,,,,,
,,,,Card9,,,,,,,,,,,,,,,,
,,,,Tlcd1,,,,,,,,,,,,,,,,
,,,,Lpcat1,,,,,,,,,,,,,,,,
,,,,Sh2d4a,,,,,,,,,,,,,,,,
,,,,F10,,,,,,,,,,,,,,,,
,,,,Ccnd3,,,,,,,,,,,,,,,,
,,,,Gm8203,,,,,,,,,,,,,,,,
,,,,Zfp808,,,,,,,,,,,,,,,,
,,,,Hbs1l,,,,,,,,,,,,,,,,
,,,,Prom1,,,,,,,,,,,,,,,,
,,,,Wdr62,,,,,,,,,,,,,,,,
,,,,Uchl3,,,,,,,,,,,,,,,,
,,,,Tex9,,,,,,,,,,,,,,,,
,,,,Arhgap33,,,,,,,,,,,,,,,,
,,,,Smc6,,,,,,,,,,,,,,,,
,,,,Stag3,,,,,,,,,,,,,,,,
,,,,Ubp1,,,,,,,,,,,,,,,,
,,,,Herc2,,,,,,,,,,,,,,,,
,,,,3110056O03Rik,,,,,,,,,,,,,,,,
,,,,Kpna3,,,,,,,,,,,,,,,,
,,,,Rtcd1,,,,,,,,,,,,,,,,
,,,,Cbx5,,,,,,,,,,,,,,,,
,,,,Nucks1,,,,,,,,,,,,,,,,
,,,,Dna2,,,,,,,,,,,,,,,,
,,,,Iscu,,,,,,,,,,,,,,,,
,,,,2310061C15Rik,,,,,,,,,,,,,,,,
,,,,Sqstm1,,,,,,,,,,,,,,,,
,,,,Nup205,,,,,,,,,,,,,,,,
,,,,Sec24d,,,,,,,,,,,,,,,,
,,,,Iars,,,,,,,,,,,,,,,,
,,,,Cd180,,,,,,,,,,,,,,,,
,,,,Alg3,,,,,,,,,,,,,,,,
,,,,Wdr44,,,,,,,,,,,,,,,,
,,,,Gtf2a1,,,,,,,,,,,,,,,,
,,,,Gm16378,,,,,,,,,,,,,,,,
,,,,Cast,,,,,,,,,,,,,,,,
,,,,Recql,,,,,,,,,,,,,,,,
,,,,Ubap2,,,,,,,,,,,,,,,,
,,,,Tmem20,,,,,,,,,,,,,,,,
,,,,Gm2199,,,,,,,,,,,,,,,,
,,,,Pcyt1a,,,,,,,,,,,,,,,,
,,,,Nudt4,,,,,,,,,,,,,,,,
,,,,Fgr,,,,,,,,,,,,,,,,
,,,,1110018G07Rik,,,,,,,,,,,,,,,,
,,,,Sep-05,,,,,,,,,,,,,,,,
,,,,Hspa9,,,,,,,,,,,,,,,,
,,,,Xpo1,,,,,,,,,,,,,,,,
,,,,Gfi1b,,,,,,,,,,,,,,,,
,,,,Kbtbd8,,,,,,,,,,,,,,,,
,,,,Dnase2a,,,,,,,,,,,,,,,,
,,,,Lpcat2,,,,,,,,,,,,,,,,
,,,,D4Ertd22e,,,,,,,,,,,,,,,,
,,,,Pcna-ps2,,,,,,,,,,,,,,,,
,,,,Fam111a,,,,,,,,,,,,,,,,
,,,,Rbm38,,,,,,,,,,,,,,,,
,,,,Pprc1,,,,,,,,,,,,,,,,
,,,,Acss1,,,,,,,,,,,,,,,,
,,,,Pdss1,,,,,,,,,,,,,,,,
,,,,Galnt9,,,,,,,,,,,,,,,,
,,,,Tigd3,,,,,,,,,,,,,,,,
,,,,Zbtb6,,,,,,,,,,,,,,,,
,,,,Ear2,,,,,,,,,,,,,,,,
,,,,Gm13675,,,,,,,,,,,,,,,,
,,,,Snap29,,,,,,,,,,,,,,,,
,,,,Pi16,,,,,,,,,,,,,,,,
,,,,Fth1,,,,,,,,,,,,,,,,
,,,,Prkag1,,,,,,,,,,,,,,,,
,,,,Gins2,,,,,,,,,,,,,,,,
,,,,Enpp1,,,,,,,,,,,,,,,,
,,,,H2-Ob,,,,,,,,,,,,,,,,
,,,,Card6,,,,,,,,,,,,,,,,
,,,,Fancm,,,,,,,,,,,,,,,,
,,,,Nrf1,,,,,,,,,,,,,,,,
,,,,Amd1,,,,,,,,,,,,,,,,
,,,,Trappc10,,,,,,,,,,,,,,,,
,,,,Nup155,,,,,,,,,,,,,,,,
,,,,Alkbh8,,,,,,,,,,,,,,,,
,,,,Gm12663,,,,,,,,,,,,,,,,
,,,,Lyar,,,,,,,,,,,,,,,,
,,,,Slc39a10,,,,,,,,,,,,,,,,
,,,,Hk1,,,,,,,,,,,,,,,,
,,,,Gm13461,,,,,,,,,,,,,,,,
,,,,Gm12844,,,,,,,,,,,,,,,,
,,,,Plbd1,,,,,,,,,,,,,,,,
,,,,Gm5560,,,,,,,,,,,,,,,,
,,,,Metrn,,,,,,,,,,,,,,,,
,,,,Med7,,,,,,,,,,,,,,,,
,,,,Hn1,,,,,,,,,,,,,,,,
,,,,Psmc2,,,,,,,,,,,,,,,,
,,,,Gm5422,,,,,,,,,,,,,,,,
,,,,1700020I14Rik,,,,,,,,,,,,,,,,
,,,,Hirip3,,,,,,,,,,,,,,,,
,,,,Runx3,,,,,,,,,,,,,,,,
,,,,Hsph1,,,,,,,,,,,,,,,,
,,,,Gcnt1,,,,,,,,,,,,,,,,
,,,,Wrap53,,,,,,,,,,,,,,,,
,,,,Umps,,,,,,,,,,,,,,,,
,,,,Csl,,,,,,,,,,,,,,,,
,,,,Gm15285,,,,,,,,,,,,,,,,
,,,,Rnaseh2b,,,,,,,,,,,,,,,,
,,,,Clic4,,,,,,,,,,,,,,,,
,,,,Ccdc82,,,,,,,,,,,,,,,,
,,,,Smpd4,,,,,,,,,,,,,,,,
,,,,Pno1,,,,,,,,,,,,,,,,
,,,,Galnt10,,,,,,,,,,,,,,,,
,,,,Rfc2,,,,,,,,,,,,,,,,
,,,,Prkaa1,,,,,,,,,,,,,,,,
,,,,Timm50,,,,,,,,,,,,,,,,
,,,,Stk17b,,,,,,,,,,,,,,,,
,,,,Manf,,,,,,,,,,,,,,,,
,,,,5830418K08Rik,,,,,,,,,,,,,,,,
,,,,Tars,,,,,,,,,,,,,,,,
,,,,2310022B05Rik,,,,,,,,,,,,,,,,
,,,,Gm8995,,,,,,,,,,,,,,,,
,,,,Gm14276,,,,,,,,,,,,,,,,
,,,,Cad,,,,,,,,,,,,,,,,
,,,,Cd68,,,,,,,,,,,,,,,,
,,,,Itgam,,,,,,,,,,,,,,,,
,,,,1810031K17Rik,,,,,,,,,,,,,,,,
,,,,Cebpg,,,,,,,,,,,,,,,,
,,,,Csf2rb,,,,,,,,,,,,,,,,
,,,,Apex2,,,,,,,,,,,,,,,,
,,,,Mtr,,,,,,,,,,,,,,,,
,,,,Optn,,,,,,,,,,,,,,,,
,,,,Nup188,,,,,,,,,,,,,,,,
,,,,Gm10143,,,,,,,,,,,,,,,,
,,,,Cyb5r1,,,,,,,,,,,,,,,,
,,,,Dhrs9,,,,,,,,,,,,,,,,
,,,,1110008P14Rik,,,,,,,,,,,,,,,,
,,,,Mob1b,,,,,,,,,,,,,,,,
,,,,Mybl2,,,,,,,,,,,,,,,,
,,,,Rngtt,,,,,,,,,,,,,,,,
,,,,Gm7488,,,,,,,,,,,,,,,,
,,,,Rbbp4,,,,,,,,,,,,,,,,
,,,,Taf12,,,,,,,,,,,,,,,,
,,,,Gm10713,,,,,,,,,,,,,,,,
,,,,Nlrp12,,,,,,,,,,,,,,,,
,,,,Hat1,,,,,,,,,,,,,,,,
,,,,Mbnl1,,,,,,,,,,,,,,,,
,,,,Cep164,,,,,,,,,,,,,,,,
,,,,Cdc7,,,,,,,,,,,,,,,,
,,,,Hspa14,,,,,,,,,,,,,,,,
,,,,Tank,,,,,,,,,,,,,,,,
,,,,Pld3,,,,,,,,,,,,,,,,
,,,,Odc1,,,,,,,,,,,,,,,,
,,,,Psmd14,,,,,,,,,,,,,,,,
,,,,Rpa2,,,,,,,,,,,,,,,,
,,,,Eri2,,,,,,,,,,,,,,,,
,,,,Hace1,,,,,,,,,,,,,,,,
,,,,Pck2,,,,,,,,,,,,,,,,
,,,,Trpm2,,,,,,,,,,,,,,,,
,,,,Wdr7,,,,,,,,,,,,,,,,
,,,,Slc25a5,,,,,,,,,,,,,,,,
,,,,Cep135,,,,,,,,,,,,,,,,
,,,,4933424B01Rik,,,,,,,,,,,,,,,,
,,,,Ipo7,,,,,,,,,,,,,,,,
,,,,Cd163,,,,,,,,,,,,,,,,
,,,,Scarb2,,,,,,,,,,,,,,,,
,,,,Tac2,,,,,,,,,,,,,,,,
,,,,Tal1,,,,,,,,,,,,,,,,
,,,,Psmd2,,,,,,,,,,,,,,,,
,,,,Noc4l,,,,,,,,,,,,,,,,
,,,,Gm6640,,,,,,,,,,,,,,,,
,,,,Fam50a,,,,,,,,,,,,,,,,
,,,,Tjp1,,,,,,,,,,,,,,,,
,,,,Lpar5,,,,,,,,,,,,,,,,
,,,,Fcnb,,,,,,,,,,,,,,,,
,,,,Oaf,,,,,,,,,,,,,,,,
,,,,Klf16,,,,,,,,,,,,,,,,
,,,,Rnf139,,,,,,,,,,,,,,,,
,,,,Clp1,,,,,,,,,,,,,,,,
,,,,Eif2c2,,,,,,,,,,,,,,,,
,,,,Prpf18,,,,,,,,,,,,,,,,
,,,,A530064D06Rik,,,,,,,,,,,,,,,,
,,,,Gm6030,,,,,,,,,,,,,,,,
,,,,Erbb3,,,,,,,,,,,,,,,,
,,,,Baz1a,,,,,,,,,,,,,,,,
,,,,Gm6788,,,,,,,,,,,,,,,,
,,,,Tmx1,,,,,,,,,,,,,,,,
,,,,Pycr2,,,,,,,,,,,,,,,,
,,,,2310047B19Rik,,,,,,,,,,,,,,,,
,,,,4930523C07Rik,,,,,,,,,,,,,,,,
,,,,P2rx7,,,,,,,,,,,,,,,,
,,,,Gm14270,,,,,,,,,,,,,,,,
,,,,Armc6,,,,,,,,,,,,,,,,
,,,,Atg4b,,,,,,,,,,,,,,,,
,,,,Abcf2,,,,,,,,,,,,,,,,
,,,,Ccdc25,,,,,,,,,,,,,,,,
,,,,Eps15,,,,,,,,,,,,,,,,
,,,,Ciapin1,,,,,,,,,,,,,,,,
,,,,Supt16h,,,,,,,,,,,,,,,,
,,,,Mafg,,,,,,,,,,,,,,,,
,,,,Bud31,,,,,,,,,,,,,,,,
,,,,Rrp12,,,,,,,,,,,,,,,,
,,,,Psrc1,,,,,,,,,,,,,,,,
,,,,Nlrp1a,,,,,,,,,,,,,,,,
,,,,Tmem185b,,,,,,,,,,,,,,,,
,,,,Serpinb1a,,,,,,,,,,,,,,,,
,,,,Rbm12,,,,,,,,,,,,,,,,
,,,,Pira2,,,,,,,,,,,,,,,,
,,,,Pabpc4,,,,,,,,,,,,,,,,
,,,,Myh10,,,,,,,,,,,,,,,,
,,,,Reep4,,,,,,,,,,,,,,,,
,,,,Fam118b,,,,,,,,,,,,,,,,
,,,,Tuba1b,,,,,,,,,,,,,,,,
,,,,Sh3d19,,,,,,,,,,,,,,,,
,,,,Suv39h1,,,,,,,,,,,,,,,,
,,,,Olfm4,,,,,,,,,,,,,,,,
,,,,Gtf3c5,,,,,,,,,,,,,,,,
,,,,Idh3a,,,,,,,,,,,,,,,,
,,,,Nubp2,,,,,,,,,,,,,,,,
,,,,Tspo,,,,,,,,,,,,,,,,
,,,,2210020M01Rik,,,,,,,,,,,,,,,,
,,,,Ftsj3,,,,,,,,,,,,,,,,
,,,,Casp3,,,,,,,,,,,,,,,,
,,,,Cnst,,,,,,,,,,,,,,,,
,,,,Zbtb44,,,,,,,,,,,,,,,,
,,,,Arrdc2,,,,,,,,,,,,,,,,
,,,,Fyb,,,,,,,,,,,,,,,,
,,,,Got1,,,,,,,,,,,,,,,,
,,,,Ccr2,,,,,,,,,,,,,,,,
,,,,Hist1h1e,,,,,,,,,,,,,,,,
,,,,Rbm14,,,,,,,,,,,,,,,,
,,,,Zcrb1,,,,,,,,,,,,,,,,
,,,,Gm17414,,,,,,,,,,,,,,,,
,,,,Dhx40,,,,,,,,,,,,,,,,
,,,,Zranb3,,,,,,,,,,,,,,,,
,,,,Nup43,,,,,,,,,,,,,,,,
,,,,Mospd1,,,,,,,,,,,,,,,,
,,,,C230052I12Rik,,,,,,,,,,,,,,,,
,,,,Alg8,,,,,,,,,,,,,,,,
,,,,Ino80c,,,,,,,,,,,,,,,,
,,,,Irak2,,,,,,,,,,,,,,,,
,,,,Armc9,,,,,,,,,,,,,,,,
,,,,Mtpn,,,,,,,,,,,,,,,,
,,,,Gas2,,,,,,,,,,,,,,,,
,,,,Katnb1,,,,,,,,,,,,,,,,
,,,,Gpr97,,,,,,,,,,,,,,,,
,,,,Gm9392,,,,,,,,,,,,,,,,
,,,,Eif5al3-ps,,,,,,,,,,,,,,,,
,,,,1700066B19Rik,,,,,,,,,,,,,,,,
,,,,Bcas2,,,,,,,,,,,,,,,,
,,,,Klhl12,,,,,,,,,,,,,,,,
,,,,Nfyc,,,,,,,,,,,,,,,,
,,,,Heatr1,,,,,,,,,,,,,,,,
