Almut,Shiozawa,Tusi,YangAnemicHSCs,Singh.Tg6,WilsonMolO,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,Nina_dHSCs,Nina_aHSCs,Nina_mpp1
,,Tmem69,,Nlrp6,,Wdr52,Gcgr,Supt4h1,Ube2l3,,Sypl,AI847670,,,B4galnt2,,,Anxa6,Ola1,Uchl5
,,Cd163,,Tmod1,,Ky,Ssr4,2310007F21Rik,Mcm3,,Scpep1,Batf,,,Camk4,,,Smurf2,Nop10,Pfn1
,,Ggta1,,Bcl2l1,,Dlgap5,Rab44,Arhgap24,Odc1,,Phip,2610209M04Rik,,,Pou4f1,,,Shroom1,Prrg4,Ksr1
,,Rnf34,,Pdzk1,,Mastl,LOC629793,Cdk2ap1,Bcl2l1,,Mtmr3,Bak1,,,Cit,,,Kcnab3,Dusp2,Il12rb2
,,Rwdd2b,,Slc23a3,,Inhba,Ela2,Tceal3,Rnaseh2b,,Htatip,1810034K20Rik,,,6330439K17Rik,,,Kdm6b,Prom2,Kpna2
,,Panx1,,Plxnb3,,Jakmip2,Ube2j1,4921528I07Rik,Igfbp4,,Arl6ip5,Dnm1l,,,Fam13a,,,Sparc,Rbbp9,Srsf1
,,Adamtsl4,,AI427809,,Whamm,Slc17a5,Cyth4,F630043A04Rik,,Bcat2,Bola2,,,Gk5,,,Zbtb4,Cdk5rap1,C1qbp
,,C1qa,,Foxh1,,Plk1,Tmem20,LOC100134990,Psmc6,,Lmo6,Errfi1,,,1300018I17Rik,,,Cd68,Car2,G3bp1
,,Arrdc2,,Gm15931,,Btnl1,Pi4ka,Fam114a2,Anp32b,,Gimap9,D10Ertd322e,,,Cyp2e1,,,Acsl1,Anxa5,Tada2a
,,Cfap97,,Asns,,Hoxa10,Hccs,Inadl,Nusap1,,Tmem50a,Stk38,,,Chrm4,,,Lsp1,Gmps,Cbx1
,,Epc2,,Lilra5,,Cox6b2,Nfkb1,Txndc15,Ndufs2,,Hpcal1,Lrrc33,,,Tnfaip8l2,,,Irf1,Slc50a1,Atp5g3
,,Creb3,,F2rl2,,Rspo4,Calr,Gbe1,Lass2,,Appl2,Hectd3,,,Fam19a1,,,Med11,Ifi44,Pelp1
,,F830016B08Rik,,Epb4.1,,Raly,Prg2,Rab3b,Exosc5,,Brap,Fut8,,,Itgb6,,,Ccl6,Scamp3,Ywhah
,,Evc,,Hmbs,,Ppp1r14a,Vasn,Gatsl3,Fam98b,,Epm2aip1,Fubp1,,,Pif1,,,Ccl4,Rps3a1,Isyna1
,,Rbm12b2,,Tmem215,,Actl7a,Cntn5,Olfr1234,H2afv,,Polr3gl,Nckap1,,,5730507C01Rik,,,E2f2,Cryz,Mdh2
,,Cant1,,Hmox1,,Nusap1,ENSMUSG00000073488,ENSMUSG00000052236,Lsm3,,Arpc5,Chchd1,,,Aqp11,,,Fis1,3110043O21Rik,Chtf18
,,Slc29a2,,Apol8,,Kpna2,Calca,Top1mt,Sf3b1,,Frg1,Lrrc58,,,Gm6756,,,Atp6v0a1,Polr1e,Map1s
,,Cebpzos,,E2f2,,OTTMUSG00000010547,Letmd1,Dnmbp,Nme2,,Acadvl,Ubtf,,,Hexim2,,,Lyst,Vcp,Nop9
,,Arrdc3,,Eif2ak1,,ENSMUSG00000056729,St6galnac3,Capns1,Tpi1,,Rap2a,Hist1h1e,,,Rgs14,,,Tmc4,Prkaa2,Calm3
,,Bhlhb9,,Isg20,,Traf4,Itga4,2610018G03Rik,Cyfip1,,Sdhc,3110045G13Rik,,,Zik1,,,Utrn,Txndc12,Gipc1
,,Pla2g4a,,Vcan,,Gas2l3,Igl-V2,Thra,Myo1g,,Ncoa7,Herc3,,,H2-Bl,,,Wasf1,Tal1,Prep
,,Lamc1,,Tbx6,,1700110M21Rik,Klrb1f,Tox3,Ddx21,,Zfp263,Hmg20a,,,Zbtb48,,,Smpdl3a,Pef1,Cdk1
,,Tab1,,Il1rl1,,Gata1,Hp,Sft2d1,Calm1,,AI597468,Pim1,,,Hist1h2an,,,Pkib,Ccdc28b,Tmpo
,,Klf10,,Pde10a,,LOC674122,Plac8,Rasa4,Tcerg1,,Alg5,Lap3,,,Hspa2,,,Arid5b,Psmb2,Snrpf
,,Mkrn2,,Vsig4,,OTTMUSG00000005773,Lrrn1,Il12a,Ckap2l,,Tox4,Sep-02,,,Ddi2,,,Ifngr1,Mxra8,Timp3
,,Polg2,,Asb1,,Dut,LOC100046894,1700113i22rik,Slc20a1,,Parp3,Mlf1ip,,,Rad54b,,,Socs2,Hgfac,Plek
,,Acap2,,Reep6,,Micall2,Ikzf2,Eid1,Hspa4,,Dbr1,Slk,,,Arfip2,,,Tcp11l2,Evc,Snrpd3
,,Casz1,,Add2,,Ccna2,ENSMUSG00000051848,Ada,Top1,,Pnpla7,Tcf19,,,Itfg3,,,Igf1,Mmab,E2f7
,,Atp5sl,,Gm17004,,BC066135,Ddx39,Irf9,Amd2,,Pip4k2c,Psme1,,,Ccdc21,,,4632428N05Rik,Rpl6,Sf3a2
,,Tspan15,,Mar-02,,Enox1,Ppp2r1b,Pbsn,Ldha,,Cnot2,Timeless,,,Neu1,,,Elane,Tspan12,Mdm1
,,Itgal,,Cdr2,,Pygo2,Kit,Pcdhb17,Polr3k,,Ube1c,Pef1,,,Trmt12,,,Cpm,Tmem176b,Fzr1
,,Snx13,,Specc1,,Gp9,Igh,Hebp1,Ndufv3,,Tbl1xr1,Gtf2h1,,,,,,Sumo3,Cnbp,Nudcd2
,,Traf3ip3,,Clcn3,,Cd55,Rab4a,Dgkb,Eps15,,5730590G19Rik,Ube3b,,,,,,Rhbdf1,Art4,Hmmr
,,Alg2,,Chac2,,Dach1,EG667683,Jmjd8,Wdr43,,Erg,Cyp51,,,,,,Erlec1,Kras,Hnrnpab
,,Camk2g,,Crip2,,Vars,Tirap,Camsap1l1,Thoc4,,9430023L20Rik,Psen2,,,,,,Gfpt2,Tnfrsf1a,Rad50
,,Ift80,,Bsdc1,,Zfp598,Tmem62,Slc25a4,Dctpp1,,Rap2b,Mdh1,,,,,,Tnip1,Aldoa,Vdac1
